epoch,train_loss,val_loss,lr,time_s,del
245,3.591590e-06,6.155785e-06,8.343471e-06,125.8,-5.552846e-07
246,3.650892e-06,6.244924e-06,8.051517e-06,125.7,-6.444241e-07
247,3.691857e-06,5.711727e-06,7.764321e-06,125.8,-1.112272e-07
248,3.621176e-06,5.712626e-06,7.481915e-06,125.8,-1.121262e-07
249,3.560839e-06,5.875279e-06,7.204333e-06,125.7,-2.747785e-07
250,3.542985e-06,5.846456e-06,6.931604e-06,125.9,-2.459564e-07
251,3.554254e-06,5.774462e-06,6.663760e-06,125.6,-1.739622e-07
252,3.528038e-06,5.629845e-06,6.400831e-06,125.8,-2.934506e-08
253,3.506638e-06,6.326420e-06,6.142848e-06,125.7,-7.259196e-07
254,3.457118e-06,5.667992e-06,5.889839e-06,125.9,-6.749205e-08
255,3.433721e-06,5.598661e-06,5.641833e-06,125.8,1.838973e-09
256,3.366430e-06,5.618576e-06,5.398858e-06,128.7,-1.991458e-08
257,3.345023e-06,5.421765e-06,5.160942e-06,125.5,1.768960e-07
258,3.381010e-06,5.762667e-06,4.928112e-06,128.7,-3.409016e-07
259,3.344621e-06,5.572792e-06,4.700394e-06,125.4,-1.510269e-07
260,3.230821e-06,5.713303e-06,4.477815e-06,125.8,-2.915374e-07
261,3.250476e-06,5.527382e-06,4.260398e-06,125.8,-1.056173e-07
262,3.236148e-06,5.687418e-06,4.048169e-06,125.7,-2.656531e-07
263,3.223616e-06,5.811234e-06,3.841152e-06,125.5,-3.894693e-07
264,3.241075e-06,5.398520e-06,3.639371e-06,125.5,2.324496e-08
265,3.133202e-06,5.535394e-06,3.442848e-06,128.1,-1.368741e-07
266,3.190468e-06,5.373793e-06,3.251605e-06,125.4,2.472737e-08
267,3.146271e-06,5.376030e-06,3.065665e-06,128.1,-2.237091e-09
268,3.117969e-06,5.329702e-06,2.885049e-06,125.5,4.409104e-08
269,3.086263e-06,5.359841e-06,2.709776e-06,128.7,-3.013948e-08
270,3.064370e-06,5.620289e-06,2.539867e-06,125.5,-2.905872e-07
271,3.029158e-06,5.524271e-06,2.375340e-06,125.7,-1.945695e-07
272,3.032037e-06,5.396985e-06,2.216216e-06,125.7,-6.728375e-08
273,3.007522e-06,5.217427e-06,2.062511e-06,125.8,1.122748e-07
274,2.978167e-06,5.314136e-06,1.914244e-06,128.7,-9.670870e-08
275,2.949557e-06,5.301115e-06,1.771430e-06,125.3,-8.368804e-08
